name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AMOUAGE Beloved,"cedarwoodatlas,guaiacwood,leather",Men,"geraniumbourbon,jasmine,orris,cumin",https://www.noon.com/uae-en/beloved-edp-100ml/N12582150A/p?o=a71fbcbb0dd40bfc,Fruity,100ml,"orange,grapefruit,blackpepper,cardamom",565.0,EDP
AMOUAGE Beloved,"musk,sandalwood,cedar,vanilla,castoreum,civet,leather,ambergris",Women,"immortelle,labdanum,ylangylangg,patchouli,benzoin,olibanum,violet",https://www.noon.com/uae-en/beloved-edp-100ml/N11201601A/p?o=f66a560f62402c8b,,100ml,"jasmine,lavender,rose,clarysage,chamomile,cloves,cardamom",549.0,EDP
AMOUAGE Ciel,"amber,musk,cedarwood,sandalwood,incense",Women,"peachblossom,waterlily,rose,jasmine",https://www.noon.com/uae-en/ciel-edp-100ml/N11074629A/p?o=e6376b299574b3cf,Floral,100ml,"gardenia,cyclamen,violetleaf",539.65,EDP
AMOUAGE Dia,"patchouli,amber,brazilianrosewood,vetiver,leather",Men,"ylangylangg,plum,peach,orrisroot",https://www.noon.com/uae-en/dia-edp-100ml/N25837891A/p?o=cf3b737077d4251a,Woody,100ml,"abdanum,incense,bitterorange,cardamom",579.15,EDP
AMOUAGE Dia,"leather,amber,patchouli,vetiver,brazilianrosewood",Men,"peony,plum,ylangylangg,orrisroot",https://www.noon.com/uae-en/dia-edp-3-4ounce/N26193098A/p?o=cf2e71c86dd1796a,,3.4ounce,"incense,cardamom,labdanum,bitterorange",562.0,EDP
AMOUAGE Epic,"aoud,patchouli,leather,incense",Men,"essencesgeranium,myrrh",https://www.noon.com/uae-en/epic-edp-100ml/N11756264A/p?o=b50f191c3677432c,Musk,100ml,,449.0,EDP
AMOUAGE Epic,"aoud,patchouli,leather,incense",Men,"geranium,myrrh",https://www.noon.com/uae-en/epic-edp-2ml/N36158977A/p?o=ae24222068aa32fe,Arabian,2ml,"pinkpepper,cardamom,saffron,nutmeg",38.5,EDP
AMOUAGE Fate,"vanilla,frankincense,benzoin,castoreum,patchouli,oakmoss,leather",Women,"rose,narcissus,jasmine,frankincense,labdanum",https://www.noon.com/uae-en/fate-edp-100ml/N11074634A/p?o=dec473b7daa3dc6c,Jasmine,100ml,"bergamot,cinnamon,chilli,pepper",494.2,EDP
AMOUAGE Fate For Women,"vanilla,frankincense,benzoin,castoreum,patchouli,oakmoss,leather",Women,"rose,narcissus,jasmine,frankincense,labdanum",https://www.noon.com/uae-en/fate-edp-for-women-100ml/N26481654A/p?o=ebdece8b26e852eb,Jasmine,100ml,"bergamot,cinnamon,chillipepper",640.1,EDP
AMOUAGE Figment,"labdanum,guaiacwood",Men,"sandalwood,animalic,vetiver,leather",https://www.noon.com/uae-en/figment-edp-100ml/N20690966A/p?o=bc53d77d8211596d,Sandalwood,100ml,"lemon,geranium,pinkpepper",399.0,EDP
AMOUAGE Figment,"orris,papyrus,incense,patchouli",Women,"tuberose,jasmine,orangeblossom,lily,ylangylangg,cassiabourbon",https://www.noon.com/uae-en/figment-edp-100ml/N33662562A/p?o=ae35ee0c76e389de,,100ml,"sichuanpepper,saffron,garde",425.0,EDP
AMOUAGE Gold,"ambergris,civet,musk,cedarwood,sandalwood",Women,"myrrh,orris,jasmine",https://www.noon.com/uae-en/gold-edp-100ml/N12582153A/p?o=c247c58c6282891b,Woody,100ml,"rose,lily,frankincense",601.0,EDP
AMOUAGE Honour,"patchouli,cedar,vetiver,frankincense,musk,tonka",Men,"geranium,elemi,nutmeg",https://www.noon.com/uae-en/honour-edp-100ml/N37566977A/p?o=d5f71545ca807e3c,,100ml,"red,blackpepper",1097.0,EDP
AMOUAGE Honour,"patchouli,cedar,vetiver,frankincense,musk,tonka",Women,"geranium,elemi,nutmeg",https://www.noon.com/uae-en/honour-edp-100ml/N23098404A/p?o=cf367945aecf396e,Spicy,100ml,"coriander,pepper,rhuburb",558.05,EDP
AMOUAGE Honour,"patchouli,frankincense,cedarwood,vetiver,tonka,musk",Men,"geranium,nutmeg,elemi",https://www.noon.com/uae-en/honour-edp-3-4ounce/N26193097A/p?o=fa0d7b52def4ea1a,Spicy,3.4ounce,,1220.05,EDP
AMOUAGE Imitation,"incense,sandalwood,patchouli",Women,"blackcurrantbuds,aldehydes,liquorice",https://www.noon.com/uae-en/imitation-edp-100ml/N25837866A/p?o=faab384105e8435f,,100ml,"rose,ylangylang,orangeblossom,jasmine",548.0,EDP
AMOUAGE Interlude Black Iris,"leather,agarwoodoud,patchouli,sandalwood,cedar",Men,"orris,amber,olibanum,labdanum,myrhh,vanilla",https://www.noon.com/uae-en/interlude-black-iris-edp-100ml/N40021882A/p?o=d2046eaad22d244b,Woody,100ml,"bergamot,rosemary,violetleaf",749.95,EDP
